ProcessId,total_events,events_per_second,num_created_processes,num_created_files,num_registry_modifications,num_network_connections,num_dns_queries,num_unique_ips,num_unique_ports,suspicious_extensions,Label,prob_ransomware,pred_label
4616,2,0.056170308374992976,1,0,0,0,0,0,0,0,-1,0.0005518464172169235,0
4632,2,0.21346995410395989,1,0,0,0,0,0,0,0,-1,0.0005518464172169235,0
4864,2,0.033211557622052475,1,0,0,0,0,0,0,0,-1,0.00033908045977011495,0
4880,1,1.0,1,0,0,0,0,0,0,0,-1,0.01865961298356771,0
4916,2,0.326743996079072,1,0,0,0,0,0,0,0,-1,0.0007441541095246157,0
4968,1,1.0,1,0,0,0,0,0,0,0,-1,0.01865961298356771,0
4984,1,1.0,1,0,0,0,0,0,0,0,-1,0.01865961298356771,0
5168,2,74.07407407407408,1,0,0,0,0,0,0,0,-1,0.16122511109580073,1
5184,1,1.0,1,0,0,0,0,0,0,0,-1,0.01865961298356771,0
5260,1,1.0,1,0,0,0,0,0,0,0,-1,0.01865961298356771,0
5268,1,1.0,0,0,0,0,0,0,0,0,-1,0.0006583762149799885,0
5516,1,1.0,1,0,0,0,0,0,0,0,-1,0.01865961298356771,0
5576,2,7.49063670411985,1,1,0,0,0,0,0,1,-1,0.14,0
5700,1,1.0,1,0,0,0,0,0,0,0,-1,0.01865961298356771,0
5796,1,1.0,1,0,0,0,0,0,0,0,-1,0.01865961298356771,0
5800,1,1.0,0,0,1,0,0,0,0,0,-1,0.0,0
6112,2,333.3333333333333,1,0,0,0,0,0,0,0,-1,0.15103280340349307,1
6236,1,1.0,1,0,0,0,0,0,0,0,-1,0.01865961298356771,0
6252,1,1.0,0,0,0,0,0,0,0,0,-1,0.0006583762149799885,0
6424,2,76.92307692307692,1,0,0,0,0,0,0,0,-1,0.16122511109580073,1
6800,2,105.26315789473685,1,0,0,0,0,0,0,0,-1,0.19103280340349307,1
6904,3,0.008436137036610022,0,0,3,0,0,0,0,0,-1,0.08,0
6908,2,4.651162790697675,1,0,0,0,0,0,0,0,-1,0.08160011109580076,0
7088,2,117.6470588235294,1,0,0,0,0,0,0,0,-1,0.20103280340349308,1
7236,1,1.0,1,0,0,0,0,0,0,0,-1,0.01865961298356771,0
7284,2,14.184397163120568,1,0,0,0,0,0,0,0,-1,0.10122511109580076,0
7324,1,1.0,1,0,0,0,0,0,0,0,-1,0.01865961298356771,0
7436,1,1.0,0,0,0,0,0,0,0,0,-1,0.0006583762149799885,0
7444,2,0.029080757262919126,1,0,0,0,0,0,0,0,-1,0.020339080459770113,0
7848,3,0.0814509122502172,1,0,0,0,1,0,0,0,-1,0.020212765957446806,0
8096,1,1.0,1,0,0,0,0,0,0,0,-1,0.01865961298356771,0
8124,1,1.0,1,0,0,0,0,0,0,0,-1,0.01865961298356771,0
8208,1,1.0,1,0,0,0,0,0,0,0,-1,0.01865961298356771,0
8296,1,1.0,1,0,0,0,0,0,0,0,-1,0.01865961298356771,0
8356,1,1.0,1,0,0,0,0,0,0,0,-1,0.01865961298356771,0
8368,1,1.0,1,0,0,0,0,0,0,0,-1,0.01865961298356771,0
8376,1,1.0,1,0,0,0,0,0,0,0,-1,0.01865961298356771,0
8392,12,6.521739130434783,1,10,0,0,0,0,0,11,-1,0.17,1
8404,1,1.0,1,0,0,0,0,0,0,0,-1,0.01865961298356771,0
8412,1,1.0,1,0,0,0,0,0,0,0,-1,0.01865961298356771,0
8464,1,1.0,1,0,0,0,0,0,0,0,-1,0.01865961298356771,0
8516,2,0.03321652189799206,1,0,0,0,0,0,0,0,-1,0.00033908045977011495,0
8552,5,0.3765627353517096,1,0,0,0,4,0,0,0,-1,0.05021276595744681,0
8592,1,1.0,1,0,0,0,0,0,0,0,-1,0.01865961298356771,0
8604,1,1.0,0,0,0,0,0,0,0,0,-1,0.0006583762149799885,0
8620,1,1.0,1,0,0,0,0,0,0,0,-1,0.01865961298356771,0
8656,1,1.0,1,0,0,0,0,0,0,0,-1,0.01865961298356771,0
8700,2,12.121212121212121,1,0,0,0,0,0,0,0,-1,0.11122511109580076,0
8900,1,1.0,1,0,0,0,0,0,0,0,-1,0.01865961298356771,0
9068,1,1.0,1,0,0,0,0,0,0,0,-1,0.01865961298356771,0
9232,62,1.1102356564715994,1,59,0,0,0,0,0,23,-1,0.31,1
9660,1,1.0,1,0,0,0,0,0,0,0,-1,0.01865961298356771,0
9784,1,1.0,1,0,0,0,0,0,0,0,-1,0.01865961298356771,0
9792,1,1.0,1,0,0,0,0,0,0,0,-1,0.01865961298356771,0
9836,1,1.0,1,0,0,0,0,0,0,0,-1,0.01865961298356771,0
9844,1,1.0,1,0,0,0,0,0,0,0,-1,0.01865961298356771,0
9900,1,1.0,1,0,0,0,0,0,0,0,-1,0.01865961298356771,0
10060,1,1.0,1,0,0,0,0,0,0,0,-1,0.01865961298356771,0
10128,1,1.0,1,0,0,0,0,0,0,0,-1,0.01865961298356771,0
10140,1,1.0,1,0,0,0,0,0,0,0,-1,0.01865961298356771,0
10188,1,1.0,1,0,0,0,0,0,0,0,-1,0.01865961298356771,0
