filename,sha256,num_sections,has_rsrc_section,max_entropy,avg_entropy,total_imports,suspicious_api_count,timestamp,is_dll,image_size,is_64bit
AppContracts.dll,8607e25af62f43bdbb6f2aebd8fed044ab2f0b4bdc64558e9d64e806d1aafc71,7,1,6.299275264685171,3.635619020806733,217,3,2218301023,1,1024000,1
AppExtension.dll,e843be39c98e8057fc13236efbc193b39cd53b7683aed37056612e17308ed4f7,7,1,6.302888060065476,3.420659801157714,152,2,2439410843,1,266240,1
apphelp.dll,4589b2aedb9985f43bdfe1a34f59de9c547350055ef16dc2f6eb3e6af02f3ff7,7,1,6.381493775428062,4.0304793784169926,240,9,820344318,1,622592,1
AutomaticAppSignInPolicy.dll,6624c1e4916ac03a3898e21dcbb1969229bc1afc08b7d5f8a9ed4ccc44290cdf,6,1,6.25961395145375,4.104667724654042,95,2,2981886566,1,81920,1
autopilot.dll,3a375421a010a0fcc3d6213692cc51b6ad988dcb75299f61c9a526504a28e686,7,1,6.207319324990179,2.688226773741543,216,6,1625923942,1,217088,1
autopilotdiag.dll,1fc1e014865d1843a5f4c79b00023ee2571a5b69d920329f74343dbc612b3113,6,1,5.645889274565438,2.2512162158510813,24,0,1221447712,1,57344,1
autoplay.dll,3a1e7e4dc2d79670a3d1542e2980aaee0a1348c2d641929a6a2664a9eb9ade3c,7,1,7.009385041752079,3.613946678779492,318,2,918646660,1,200704,1
autotimesvc.dll,97bf4677d263bcfe048968cd62b4cc97b3cb65d3786ec347705a8462c17e3239,7,1,6.018512623471099,2.4350925899583484,177,2,772753374,1,139264,1
avicap32.dll,31161cbdf950ebbbfbea44245e3eb4c11bf7361ee2cfb2a6151d5a56781b06c0,6,1,6.009109733571754,2.570659150980822,184,7,1920131786,1,106496,1
avifil32.dll,f89d27cdba9383dc2d6d32ace138d97b7643a66cc183ec2ea7794136b07e87cb,6,1,6.308932967909107,3.1504677552652294,138,2,1202788391,1,147456,1
avrt.dll,e1e516dde077efc1c16c7aea4d6d1b2a35d1181fafa12bf7a9ffe40d96ed0374,6,1,5.206904453130768,2.0651069717160992,32,1,563309787,1,45056,1
AxInstSv.dll,f609a139d3a9c52e35c7c905a594aa9618f45620d4ce1ebe88e67ae29d39e809,7,1,6.1581238625948265,2.7734234580377515,219,6,1206747891,1,172032,1
AxInstUI.exe,b7bd6859434dc15e1ec9b9337ae08786413c3b01b7962eb28488f00f787e5c62,6,1,5.688906613260305,2.164324875874484,50,1,3844953750,0,81920,1
azroles.dll,3aed13bff8eb46128b20a8a47a9ad4979781c28e92dbb526376713fb2f67eb12,7,1,6.324754574561896,4.0138528060820615,293,10,3785076698,1,667648,1
azroleui.dll,a3180a5591535472db2c149265e0ac5a2a7b7b01704710da086473f7d06fd2c1,6,1,6.2295831227183465,4.369428865500365,442,7,1074035907,1,466944,1
AzSqlExt.dll,2c66ee7365c3560b4c061fc38031606b8459ba2cbc93b9feb34203ac1be21d85,6,1,6.100778415827022,2.1831904215532183,63,2,1591750598,1,53248,1
baaupdate.exe,db398b13ddead910fe85ec163f4d181eff03b13d946a5f022e2948921cfaa193,6,1,6.973889079093338,3.1582889948217616,85,0,930289422,0,131072,1
BdeUISrv.exe,65936366c863a455cce088c9f1ec41b15d4baac376fbdcd9ab5cd41e57099dd9,6,1,5.9896625759699695,2.742642778147905,150,2,816256558,0,77824,1
bdeunlock.exe,f52e19ba4da44ab3ca36ffd388a8af158e15d48351f0dafd9edc5394f78c2fc0,7,1,7.084958544782173,3.461069939859409,167,2,189423421,0,311296,1
BioIso.exe,d444051b1335abcfc483fbe39f307e5ca8b2a00938e22d132e3ce00fe50e134f,11,1,6.679876930254076,3.473124991487904,155,2,3191265231,0,655360,1
browser_broker.exe,30e612e91d30055e66e7b6d1b1054e283ecbb229621ccaae304192f94c4226f6,7,1,5.900159513912067,2.5362137486083585,95,2,1975347910,0,61440,1
browserexport.exe,72409ff79f3fc66ac6aab5dbc3979ee25f5af8d34860d03fe9ede7de76bdc7a2,6,1,6.109603499608665,2.921497752341272,238,4,175227709,0,155648,1
CIDiag.exe,c51fed47ec2ec4f8197066df011ddffbbea95640b3faeb390ec35ee3823c1873,6,1,5.5956856992822415,2.1750607355435085,76,3,1348765860,0,61440,1
cipher.exe,8a939f48d396436c4e905f179ce961897bc552ebb818e387154f5d190f1f7532,7,1,5.933490627538051,2.0759187549878746,151,8,2776785071,0,81920,1
CiTool.exe,383b5cd8dca697f0a69036d227abde5d81443684afd18f055e27651298a54bed,6,1,6.314956208231907,4.193818868551105,176,2,4148736306,0,311296,1
cleanmgr.exe,28ce8591811dea64e397b1464b982b14d6fd856dfe8ff16ec34fa16673efdf61,7,1,5.917604119043936,3.0205279959308897,178,2,9398617,0,299008,1
cliconfg.exe,879e6ac418729fbec424f618633f6c4ec5af477470bc575ecb26e1669a09d1a0,6,1,5.552195458780551,2.3778979686170523,48,2,3264427454,0,49152,1
CompPkgSrv.exe,1a2890f9dbfbf8bce6c39f27149aa8b0381edfec1e795b3b8a961591ad1039e2,7,1,6.3444567666198965,2.933971054797761,102,0,4200000968,0,151552,1
ComputerDefaults.exe,274aa1b7c137d52383e493e85e87dd8545beda2c465b251132f1f708b6d6cb50,6,1,6.057758907871618,2.7865020739839963,57,1,4139269254,0,69632,1
d3dx9_35.dll,ca195b7ee7aee29e6417acf0e6c1736d9aac76890a622eb62ed137394fc6f2b9,5,1,6.322532040206092,5.079863613884456,217,11,1184887342,1,5189632,1
d3dx9_36.dll,c683e8e543bdd678dfdea0b325a3de04a419eeb053e2f32702d8b472aaf54c6d,5,1,6.337383875301794,5.085052234261922,217,11,1192062770,1,5197824,1
d3dx10.dll,03115a37f75fffb7abf07a59ec6ecb5217d3479bc95f92846c7e9b91822a0567,5,1,6.448607779879564,4.2133497287488275,116,6,1164765969,1,479232,1
d3dx10_34.dll,f7f367df5d0fb5e32113515339d928a51d4253b1c0e21854277f67d0b271fce3,5,1,6.450209981499943,4.261794492392316,120,6,1179211159,1,512000,1
d3dx10_35.dll,2030b7d57c88b653a0eb55ea85ad90c6c8630a00f5a56ea5f9b6985acdda5289,5,1,6.447334020445482,4.259257841354552,120,6,1184886585,1,512000,1
d3dx10_36.dll,6b632dcf9ef779d72855eeb1bb4676ab922ffb9204f7d587475477fa2f51be4a,5,1,6.447314065744051,4.260860424049249,120,6,1184922245,1,512000,1
devenum.dll,bec4be719e8cc1eaa9db0ced599825b9d44b469e987d1546716d782a71408bc9,7,1,6.157407621344097,2.993551594818767,141,3,1991496751,1,135168,1
dstokenclean.exe,073e9922d84caaa744f5cf99638306bab74980ca7dd8513d91e072aa2c9692ec,6,1,3.8979087064297477,1.4138429264137287,42,0,3579648604,0,36864,1
dtdump.exe,f89113a30a84094e5781d31b22913cc0c13329a9dfaa45336c900da54438f7d2,7,1,6.092760855676559,3.468343064373997,105,2,1886552257,0,163840,1
EDPCleanup.exe,91cf2b38aab6d8952388df531be72d281d3e9157dff975b0c14420a8bec43f45,7,1,6.158055764817603,2.602068817929547,191,6,3661114217,0,167936,1
edpnotify.exe,21b9773c337e465fff884d712e2b42ca081c9f70424f26d71955bbe80223728f,8,1,6.108755184178532,2.0640535963604525,127,1,2390538541,0,94208,1
MuiUnattend.exe,53bf6ccbc9a28d106df589bbab98675f7e2461994989b291fceed30186d3d172,7,1,6.076581627487457,2.274534020994381,127,6,2237640354,0,114688,1
Narrator.exe,fb1f01c5a628d6b87be8a250d14c84d9642f84da0d4ecb5f9dd6e2fc3f71c9c3,7,1,6.296077044882446,4.0845886652322125,718,8,1323155597,0,942080,1
nltest.exe,65a30c2e1affea69793c5de5554a673a7167f129c45730f1ebef954c36bce897,6,1,5.971671877806279,3.8716695320413272,166,6,1103348518,0,618496,1
OneDriveSetup.exe,48a181bb27dcdffbf2d467e6004a40677b68d2d07399dd87f5ee0a2b51e5837c,8,1,7.991330447519093,4.848830529452468,576,21,3867353211,0,50348032,1
PresentationSettings.exe,426acbe3635b838cbf2b17c02d0442034bf5da2016fe766aa487471709dcaa15,6,1,6.41760994969132,3.894022873897866,195,3,3587304032,0,258048,1
print.exe,aeecaedeccc9dcb0a8d910503f876ef8b9a75f0f2dca1363992befa0f6d11c15,6,1,5.317850037305592,2.0674802744576586,90,0,3390288829,0,36864,1
RmClient.exe,f7e9749e22196a7cbdaae5e5b0aa4f77063dd8c8021dbd02171acc2f4e35cea6,6,1,4.918572432406124,1.8156922461972693,54,2,705152604,0,40960,1
rmttpmvscmgrsvr.exe,6053bfcb505585bb6849bd36cd73e94adc24056702f5c10f53654869195aeed0,6,1,6.023535736810292,3.2521414937523154,170,4,3571522724,0,143360,1
SecurityHealthHost.exe,dab3bcd84cd073f6043c69b586c1f2ab685cdeac648e41f1b02b8a6dfbfd185f,6,1,6.231021838386042,3.537426916617012,138,3,903308016,0,110592,1
SecurityHealthService.exe,216eb0f6861d685f3ada4be968968358d3e6c6b5248184892c76a593ac969da0,7,1,6.125144273550691,2.706964213426162,146,5,3795575014,0,139264,1
SecurityHealthSystray.exe,0a8804cb309ebc3cdd2e3787fbf3c129a20e387873ff13eea18ad95e5153e5f4,7,1,5.9733212393284525,2.843669240322537,114,4,1598817137,0,266240,1
srdelayed.exe,92a0cb1c7255a4e97bec9663dfeb9be983d489173d69b4fd6654a5538723b000,6,1,5.740955831385604,2.197171705853639,40,1,1271382438,0,36864,1
